definition,device,phase,nodes,passed,failed,skipped,xfailed,xpassed,error,timeout,crash,unexecuted
python/test/unit/language/test_frontend.py::test_reassign_aggregate_with_constexpr,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_constexpr_getitem,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_late_bound_class_reference,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_specialized_recursion,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_call_in_while,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_return_in_while,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_tuple_constexpr,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_aggregate_constexpr_function,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_constexpr_function_taking_list,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_constexpr_min_max,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_constexpr_min_error,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_constexpr_max_error,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_frontend.py::test_for_loop_iv_modification,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_libdevice.py::test_bessel,npu_or_frontend,original-default,12,0,12,0,0,0,0,0,0,0
python/test/unit/language/test_libdevice.py::test_libdevice_rename,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_line_info.py::test_line_info,npu_or_frontend,original-default,6,0,0,6,0,0,0,0,0,0
python/test/unit/language/test_line_info.py::test_line_info_interpreter,npu_or_frontend,original-default,6,0,0,6,0,0,0,0,0,0
python/test/unit/language/test_line_info.py::test_line_info_env,npu_or_frontend,original-default,2,0,0,2,0,0,0,0,0,0
python/test/unit/language/test_line_info.py::test_line_info_ir_source,npu_or_frontend,original-default,2,0,0,2,0,0,0,0,0,0
python/test/unit/language/test_line_info.py::test_use_name_loc_as_prefix,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_line_info.py::test_map_elementwise_has_lineinfo,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_matmul.py::test_simple_matmul,npu_or_frontend,adapted-default,1680,0,0,1680,0,0,0,0,0,0
python/test/unit/language/test_matmul.py::test_simple_persistent_matmul,npu_or_frontend,adapted-default,28,0,28,0,0,0,0,0,0,0
python/test/unit/language/test_matmul.py::test_mxfp,npu_or_frontend,adapted-default,28,24,4,0,0,0,0,0,0,0
python/test/unit/language/test_matmul.py::test_preshuffle_scale_mxfp_cdna4,npu_or_frontend,adapted-default,48,0,40,8,0,0,0,0,0,0
python/test/unit/language/test_matmul.py::test_blocked_scale_mxfp,npu_or_frontend,adapted-default,90,0,0,90,0,0,0,0,0,0
python/test/unit/language/test_matmul.py::test_lhs_in_tmem,npu_or_frontend,adapted-default,30,0,0,30,0,0,0,0,0,0
python/test/unit/language/test_matmul.py::test_lhs_in_tmem_mxfp,npu_or_frontend,adapted-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/language/test_matmul.py::test_block_scale_fp4,npu_or_frontend,adapted-default,96,5,91,0,0,0,0,0,0,0
python/test/unit/language/test_matmul.py::test_mxfp8_mxfp4_matmul,npu_or_frontend,adapted-default,3456,68,2236,1152,0,0,0,0,0,0
python/test/unit/language/test_mxfp.py::TestMXFP4Tensor::test_roundtrip,cpu,original-default,2,2,0,0,0,0,0,0,0,0
python/test/unit/language/test_mxfp.py::TestMXFP4Tensor::test_packed_tensor,cpu,original-default,2,2,0,0,0,0,0,0,0,0
python/test/unit/language/test_mxfp.py::TestMXFP4Tensor::test_padding,cpu,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_mxfp.py::TestMXFP4Tensor::test_zero_values,cpu,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_mxfp.py::TestMXFP4Tensor::test_out_of_range_values,cpu,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_mxfp.py::TestMXFP4Tensor::test_subnormal_numbers,cpu,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_mxfp.py::TestMXFP4Tensor::test_rounding_edge_cases,cpu,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_mxfp.py::TestMXFP4Tensor::test_negative_values,cpu,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_mxfp.py::TestMXFP4Tensor::test_negative_out_of_range,cpu,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_mxfp.py::TestMXFP4Tensor::test_packing,cpu,original-default,4,4,0,0,0,0,0,0,0,0
python/test/unit/language/test_mxfp.py::TestMXFP4Tensor::test_packing_with_padding,cpu,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_mxfp.py::TestMXFP4Tensor::test_invalid_packing_dimension,cpu,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_mxfp.py::TestMXFP4Tensor::test_empty_tensor,cpu,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_mxfp.py::TestMXScaleTensor::test_positive_values,cpu,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_mxfp.py::TestMXScaleTensor::test_special_values,cpu,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_mxfp.py::TestMXScaleTensor::test_e8m0_nan_to_float_nan,cpu,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_mxfp.py::TestMXScaleTensor::test_random_generation,cpu,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_mxfp.py::TestMXScaleTensor::test_roundtrip,cpu,original-default,2,2,0,0,0,0,0,0,0,0
python/test/unit/language/test_pipeliner.py::test_pipeline_matmul,npu_or_frontend,adapted-default,2,1,0,1,0,0,0,0,0,0
python/test/unit/language/test_pipeliner.py::test_pipeline_vecadd,npu_or_frontend,adapted-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_pipeliner.py::test_pipeline_epilogue,npu_or_frontend,adapted-default,20,20,0,0,0,0,0,0,0,0
python/test/unit/language/test_pipeliner.py::test_indirect_matmul,npu_or_frontend,adapted-default,9,6,3,0,0,0,0,0,0,0
python/test/unit/language/test_pipeliner.py::test_scatter_pipeline,npu_or_frontend,adapted-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/language/test_pipeliner.py::test_conditional_store_pipeline,npu_or_frontend,adapted-default,3,0,3,0,0,0,0,0,0,0
python/test/unit/language/test_random.py::test_randint,npu_or_frontend,original-default,72,0,72,0,0,0,0,0,0,0
python/test/unit/language/test_random.py::test_rand,npu_or_frontend,original-default,16,16,0,0,0,0,0,0,0,0
python/test/unit/language/test_random.py::test_seed_is_int,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_random.py::test_randn,npu_or_frontend,original-default,16,16,0,0,0,0,0,0,0,0
python/test/unit/language/test_random.py::test_rand_limits,npu_or_frontend,original-default,2,2,0,0,0,0,0,0,0,0
python/test/unit/language/test_reproducer.py::test_triton_reproducer_path,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_standard.py::test_maximum_minium,npu_or_frontend,original-default,24,22,2,0,0,0,0,0,0,0
python/test/unit/language/test_standard.py::test_sort,npu_or_frontend,original-default,80,80,0,0,0,0,0,0,0,0
python/test/unit/language/test_standard.py::test_flip,npu_or_frontend,original-default,64,64,0,0,0,0,0,0,0,0
python/test/unit/language/test_standard.py::test_flip_inf,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_standard.py::test_ravel,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_standard.py::test_swizzle2d,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_subprocess.py::test_print,npu_or_frontend,original-default,31,0,31,0,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_load,npu_or_frontend,original-default,108,54,0,54,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_store,npu_or_frontend,original-default,108,54,0,54,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_functional_interface,npu_or_frontend,original-default,9,9,0,0,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_load3d,npu_or_frontend,original-default,36,34,0,2,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_store3d,npu_or_frontend,original-default,36,34,0,2,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_load_nd,npu_or_frontend,original-default,360,0,170,190,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_store_nd,npu_or_frontend,original-default,360,0,170,190,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_padding,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_in_function,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_return_value,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_argument,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_make_tensor_descriptor_matmul,npu_or_frontend,original-default,14,7,0,7,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_make_tensor_descriptor_loop_carried,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_batched_gemm_2d_tma,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_batched_gemm_3d_tma,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_rank_reducing_load,npu_or_frontend,original-default,108,0,102,6,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_rank_reducing_matmul,npu_or_frontend,original-default,3,3,0,0,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_reshape_matmul,npu_or_frontend,original-default,3,3,0,0,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_mxfp8_mxfp4_matmul_tma,npu_or_frontend,original-default,24,0,24,0,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tma_gather,npu_or_frontend,original-default,72,28,14,30,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tma_gather_dot_pipeline,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tma_scatter,npu_or_frontend,original-default,72,28,14,30,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_reduce,npu_or_frontend,original-default,1296,632,16,648,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_host_tensor_descriptor_load,npu_or_frontend,original-default,72,36,0,36,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_host_tensor_descriptor_matmul,npu_or_frontend,original-default,14,7,0,7,0,0,0,0,0,0
python/test/unit/language/test_tensor_descriptor.py::test_tensor_descriptor_store_downcast,npu_or_frontend,original-default,2,2,0,0,0,0,0,0,0,0
python/test/unit/language/test_tuple.py::test_index,npu_or_frontend,original-default,5,0,5,0,0,0,0,0,0,0
python/test/unit/language/test_tuple.py::test_assign,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_tuple.py::test_assign_return,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_tuple.py::test_serialize,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_tuple.py::test_namedtuple,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_tuple.py::test_eq,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_tuple.py::test_add,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_tuple.py::test_passing_tuple_with_constexpr,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_tuple.py::test_passing_nested_tuple_with_constexpr,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_tuple.py::test_passing_nested_tuple_with_constexpr_and_jit_hook,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_tuple.py::test_passing_tuple_to_make_tensor_descriptor,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_tuple.py::test_modifying_tuples,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_tuple.py::test_tuple_logic,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_tuple.py::test_tuple_float,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_warp_specialization.py::test_warp_specialize_basic_ir,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/language/test_warp_specialization.py::test_warp_specialize_tmem_ir,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/language/test_warp_specialization.py::test_warpgroup_reduction,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/language/test_warp_specialization.py::test_warp_specialize_tma_matmul,npu_or_frontend,original-default,64,0,0,64,0,0,0,0,0,0
python/test/unit/language/test_warp_specialization.py::test_warp_specialize_tma_matmul_persistent,npu_or_frontend,original-default,64,0,0,64,0,0,0,0,0,0
python/test/unit/language/test_warp_specialization.py::test_warp_specialize_attention_forward,npu_or_frontend,original-default,128,0,0,128,0,0,0,0,0,0
python/test/unit/runtime/test_autotuner.py::test_kwargs,npu_or_frontend,original-default,2,1,0,0,1,0,0,0,0,0
python/test/unit/runtime/test_autotuner.py::test_no_do_bench,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_autotuner.py::test_restore,npu_or_frontend,original-default,2,2,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_autotuner.py::test_hooks,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_autotuner.py::test_prune_configs,npu_or_frontend,original-default,2,2,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_autotuner.py::test_override_ttir,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/runtime/test_autotuner.py::test_override_ttgir,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/runtime/test_autotuner.py::test_override_ptx,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/runtime/test_autotuner.py::test_exceed_tmem,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/runtime/test_autotuner.py::test_exceed_threads,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/runtime/test_autotuner.py::test_prune_all_configs,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_bindings.py::test_module_walk,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_bindings.py::test_python_func_in_visit_call,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_blaslt.py::test_blaslt,npu_or_frontend,original-default,12,0,0,12,0,0,0,0,0,0
python/test/unit/runtime/test_build.py::test_compile_module,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_build.py::test_compile_module_bad_cache,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_nochange,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_toplevel_change,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_nested1_change,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_nested2_change,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_combine_fn_change,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_constexpr_fn_change,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_invalid_constexpr_fn,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_changed_line_numbers_invalidate_cache,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_reuse,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_specialize,npu_or_frontend,original-default,3,2,1,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_annotation,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_kernel_default_arg,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_kernel_global_var_change,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_local_shadows_global,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_local_does_not_shadow_global,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_conflicting_global_in_inner_function,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_use_builtin,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_no_cache_module_as_global,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_cache_builtin_as_global,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_cache_closure,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_no_cache_callable,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_constexpr_cache_invalidation_recreated,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_jit_warmup_cache,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_jit_debug,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_jit_noinline,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_preload,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_hooks,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_within_2gb,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_function_arguments,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_async_compile_mock,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_async_compile,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_cache.py::test_higher_order_kernel,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_compilation_listener.py::test_compile_stats,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_driver.py::test_is_lazy,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_driver.py::test_kernel_in_thread,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_launch.py::test_metadata,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_launch.py::test_memory_leak,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_launch.py::test_load_hook,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_launch.py::test_multiple_hooks,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_launch.py::test_launch_with_options,npu_or_frontend,original-default,3,2,1,0,0,0,0,0,0,0
python/test/unit/runtime/test_launch.py::test_pre_run_hooks,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_specialize.py::test_specialize_impl,npu_or_frontend,original-default,96,96,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_subproc.py::test_compile_in_subproc,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_subproc.py::test_compile_in_forked_subproc,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/runtime/test_subproc.py::test_compile_in_forked_subproc_with_forced_gc,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/test_debug.py::test_device_assert,npu_or_frontend,original-default,72,72,0,0,0,0,0,0,0,0
python/test/unit/test_debug.py::test_device_assert_barrier,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/test_debug.py::test_static_assert,npu_or_frontend,original-default,2,2,0,0,0,0,0,0,0,0
python/test/unit/test_debug.py::test_sanitize_int_add_overflow,npu_or_frontend,original-default,9,4,5,0,0,0,0,0,0,0
python/test/unit/test_debug.py::test_sanitize_int_mul_overflow,npu_or_frontend,original-default,6,3,3,0,0,0,0,0,0,0
python/test/unit/test_debug.py::test_sanitize_int_sub_overflow,npu_or_frontend,original-default,5,3,2,0,0,0,0,0,0,0
python/test/unit/test_debug_dump.py::test_fn_dump,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/test_debuginfo.py::test_triton_debuginfo_on,npu_or_frontend,original-default,6,0,6,0,0,0,0,0,0,0
python/test/unit/test_filecheck.py::test_filecheck_positive,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/test_filecheck.py::test_filecheck_negative,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/test_knobs.py::test_knobs_utils,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/test_knobs.py::test_knobs_scope,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/test_knobs.py::test_env_updated,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/test_knobs.py::test_read_env,npu_or_frontend,original-default,7,7,0,0,0,0,0,0,0,0
python/test/unit/test_knobs.py::test_triton_home,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/test_knobs.py::test_set_knob_directly,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/test_knobs.py::test_nvidia_tool,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/test_knobs.py::test_opt_bool,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/test_link.py::test_link_extern_libs,npu_or_frontend,original-default,4,0,4,0,0,0,0,0,0,0
python/test/unit/test_perf_warning.py::test_mma_remark,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/test_perf_warning.py::test_remark_vectorization,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/test_perf_warning.py::test_remark_swp_op_before_operands,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/tools/test_aot.py::test_compile_link_matmul_no_specialization,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/tools/test_aot.py::test_compile_link_matmul,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/tools/test_aot.py::test_launcher_has_no_available_kernel,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/tools/test_aot.py::test_compile_link_autotune_matmul,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/tools/test_aot.py::test_ttgir_to_asm,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/tools/test_aot.py::test_gluon_kernel,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/tools/test_disasm.py::test_disam_cubin,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/tools/test_irsource.py::test_mlir_attribute_parsing,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/tools/test_linear_layout.py::test_identity_1d,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/tools/test_linear_layout.py::test_zeros_1d,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/tools/test_linear_layout.py::test_identity_2d,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/tools/test_linear_layout.py::test_operator_mul_identity,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/tools/test_linear_layout.py::test_operator_mul_disjoint_dims,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/tools/test_linear_layout.py::test_compose,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/tools/test_linear_layout.py::test_invert,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/tools/test_linear_layout.py::test_invert_and_compose,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/tools/test_linear_layout.py::test_get_matrix_view_identity,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/tools/test_linear_layout.py::test_get_matrix_view_strided,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/tools/test_linear_layout.py::test_get_matrix_view_from_bases,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/tools/test_triton_to_gluon.py::test_simple_kernel,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/tools/test_triton_to_gluon.py::test_triton_to_gluon_dot_minimal,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/tools/test_triton_to_gluon.py::test_simple_matmul,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/tools/test_triton_to_gluon.py::test_triton_to_gluon_descriptor_roundtrip,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/tools/test_triton_to_gluon.py::test_triton_to_gluon_descriptor_load_roundtrip,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
