definition,device,phase,nodes,passed,failed,skipped,xfailed,xpassed,error,timeout,crash,unexecuted
python/test/unit/language/test_core.py::test_dtype_codegen,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_bin_op,npu_or_frontend,original-default,720,421,299,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_addptr,npu_or_frontend,original-default,24,22,2,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_floordiv,npu_or_frontend,original-default,32,0,32,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_unsigned_name_mangling,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_bitwise_op,npu_or_frontend,original-default,1587,1587,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_shift_op,npu_or_frontend,original-default,64,64,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_compare_op,npu_or_frontend,original-default,744,618,126,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_broadcast,npu_or_frontend,original-default,12,11,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_slice,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_invalid_slice,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_expand_dims,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_expand_dims_error_cases,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_invalid_pid_axis,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_where,npu_or_frontend,original-default,13,11,2,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_where_broadcast,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_unary_op,npu_or_frontend,original-default,16,15,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_math_op,npu_or_frontend,original-default,40,20,20,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_math_erf_op,npu_or_frontend,original-default,2,1,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_math_fma_op,npu_or_frontend,original-default,2,1,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_math_divide_op,npu_or_frontend,original-default,2,2,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_precise_math,npu_or_frontend,original-default,2,0,2,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_abs,npu_or_frontend,original-default,12,11,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_abs_fp8,npu_or_frontend,original-default,3,2,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_shapes_as_params,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_transpose,npu_or_frontend,original-default,12,9,3,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_index1d,npu_or_frontend,original-default,12,12,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_noinline,npu_or_frontend,original-default,5,0,5,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_atomic_rmw,npu_or_frontend,original-default,400,280,60,60,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_atomic_rmw_predicate,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_tensor_atomic_rmw,npu_or_frontend,original-default,84,70,14,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_tensor_atomic_add_non_exclusive_offset,npu_or_frontend,original-default,18,17,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_tensor_atomic_add_shift_1,npu_or_frontend,original-default,18,18,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_tensor_atomic_add_access_patterns,npu_or_frontend,original-default,240,240,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_tensor_atomic_rmw_block,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_atomic_cas,npu_or_frontend,original-default,10,0,0,0,0,0,0,10,0,0
python/test/unit/language/test_core.py::test_tensor_atomic_cas,npu_or_frontend,original-default,90,60,30,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_load_scope_sem_coop_grid_cta_not_one,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_load_scope_sem_coop_grid_cta_one,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_atomic_min_max_neg_zero,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_atomic_unsupported_type,npu_or_frontend,original-default,5,5,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_tensor_atomic_use_result,npu_or_frontend,original-default,12,12,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_cast,npu_or_frontend,original-default,158,127,31,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_cat,npu_or_frontend,original-default,14,12,2,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_store_constant,npu_or_frontend,original-default,20,19,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_load_store_same_ptr,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_umulhi,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_join,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_join_scalars,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_join_with_mma,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_interleave,npu_or_frontend,original-default,2,2,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_interleave_scalars,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_split,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_split_to_scalar,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_convert_float16_to_float32,npu_or_frontend,original-default,2,2,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_max_returns_zero,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_max_min_with_nan,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_reduce1d,npu_or_frontend,original-default,336,304,32,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_reduce,npu_or_frontend,original-default,178,167,11,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_sum_dtype,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_scan2d,npu_or_frontend,original-default,1009,897,0,112,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_histogram,npu_or_frontend,original-default,7,7,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_histogram_silent_data_corruption,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_histogram_mask,npu_or_frontend,original-default,7,7,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_scan_1d,npu_or_frontend,original-default,7,7,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_optimize_thread_locality,npu_or_frontend,original-default,54,0,54,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_no_rematerialization_op,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_generic_reduction,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_permute,npu_or_frontend,original-default,6,4,2,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_trans_2d,npu_or_frontend,original-default,8,4,4,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_trans_4d,npu_or_frontend,original-default,96,48,48,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_dot,npu_or_frontend,original-default,580,410,170,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_scaled_dot,npu_or_frontend,original-default,1728,0,1728,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_dot3d,npu_or_frontend,original-default,255,0,0,255,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_dot_mulbroadcasted,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_full,npu_or_frontend,original-default,36,24,12,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_constexpr,npu_or_frontend,original-default,10,9,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_const,npu_or_frontend,original-default,16,11,5,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_dot_without_load,npu_or_frontend,original-default,2,1,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_arange,npu_or_frontend,original-default,4,4,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_masked_load,npu_or_frontend,original-default,200,180,20,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_masked_load_scalar,npu_or_frontend,original-default,4,4,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_masked_load_shared_memory,npu_or_frontend,original-default,3,3,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_load_cache_modifier,npu_or_frontend,original-default,4,4,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_vectorization,npu_or_frontend,original-default,4,4,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_vectorization_hints,npu_or_frontend,original-default,2,2,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_assume,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_store_cache_modifier,npu_or_frontend,original-default,5,5,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_store_eviction_policy,npu_or_frontend,original-default,3,3,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_default,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_pointer_arguments,npu_or_frontend,original-default,3,1,2,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_value_specialization,npu_or_frontend,original-default,11,11,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_value_specialization_overflow,npu_or_frontend,original-default,4,4,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_bin_op_constexpr,npu_or_frontend,original-default,48,43,5,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_constexpr_shape,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_constexpr_scalar_shape,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_reshape,npu_or_frontend,original-default,4,4,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_reshape_err,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_tma_load_block_shape_err,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_tma_store_block_shape_err,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_trans_reshape,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_call,npu_or_frontend,original-default,2,2,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_if,npu_or_frontend,original-default,7,7,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_num_warps_pow2,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_inline_asm,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_inline_asm_packed,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_inline_asm_with_pointers,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_inline_asm_multiple_outputs,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_inline_asm_packed_multiple_outputs,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_map_elementwise,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_map_elementwise_multiple_outputs,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_map_elementwise_pack,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_for_iv,npu_or_frontend,original-default,8,2,6,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_if_else,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_if_return,npu_or_frontend,original-default,2,2,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_if_call,npu_or_frontend,original-default,8,6,2,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_nested_if_else_return,npu_or_frontend,original-default,8,8,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_while,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_nested_while,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_constexpr_if_return,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_constexpr_flattens,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_constexpr_assignment,npu_or_frontend,original-default,3,3,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_poison_return,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_num_threads,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_globaltimer,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_smid,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_load_scalar_with_mask,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_ptx_cast,npu_or_frontend,original-default,2,1,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_dot_max_num_imprecise_acc,npu_or_frontend,original-default,24,8,16,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_enable_fp_fusion,npu_or_frontend,original-default,4,4,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_enable_reflect_ftz,npu_or_frontend,original-default,2,0,0,2,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_override_arch,npu_or_frontend,original-default,12,0,0,12,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_num_ctas_pre_sm90,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_propagate_nan,npu_or_frontend,original-default,12,4,8,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_clamp,npu_or_frontend,original-default,2,2,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_clamp_symmetric,npu_or_frontend,original-default,3,3,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_static_range,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_tl_range_num_stages,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_tl_range_fuse,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_tl_range_fuse_dependent,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_tl_range_option_none,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_disable_licm,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_maxnreg,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_temp_var_in_loop,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_num_programs,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_unroll_attr,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_side_effectful_reduction,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_side_effectful_reduction_2d,npu_or_frontend,original-default,2,0,0,2,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_dtype,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_side_effectful_scan,npu_or_frontend,original-default,1,0,0,1,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_chained_reductions,npu_or_frontend,original-default,2,0,2,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_gather,npu_or_frontend,original-default,4,2,2,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_jit_function_arg,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_zero_strided_tensors,npu_or_frontend,original-default,1,0,1,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_aliasing,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_strided_load,npu_or_frontend,original-default,12,10,2,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_strided_store,npu_or_frontend,original-default,12,10,2,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_indirect_load,npu_or_frontend,original-default,12,10,2,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_indirect_store,npu_or_frontend,original-default,12,10,2,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_dtype_tensor,npu_or_frontend,original-default,13,13,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_short_circuiting,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_unsplat,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_cumsum_dtype,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
python/test/unit/language/test_core.py::test_tensor_member,npu_or_frontend,original-default,1,1,0,0,0,0,0,0,0,0
