func,K,board_cyc_net_median,board_cyc_min,board_cyc_max,board_ns,model_cyc,model_ns_1p8G,model_ns_1p65G,err_pct_1p8G,err_pct_1p65G
m_simt_ld_uni_diff_k4,4,348.042,331.5,372.0,348.8443419865691,556,308.88888888888886,336.969696969697,-11.453662361311439,-3.4039953032488244
m_simt_ld_uni_diff_k8,8,437.8335,427.66700000000003,456.5,438.84283852861586,564,313.3333333333333,341.8181818181818,-28.600103311723153,-22.10920361278889
m_simt_ld_uni_same_k1,1,291.083,274.75,299.83399999999995,291.75403427884135,550,305.55555555555554,333.33333333333337,4.730533139268784,14.251490697384146
m_simt_ld_uni_same_k2,2,290.0415,284.58399999999995,302.75,290.71013330660514,1000,555.5555555555555,606.0606060606061,91.10292071230423,108.4759135043319
m_simt_ld_uni_same_k4,4,291.5005,273.58399999999995,313.16700000000003,292.17249674250775,1900,1055.5555555555554,1151.5151515151515,261.27820630763165,294.12167960832545
m_simt_ld_uni_same_k8,8,306.6255,287.583,319.83399999999995,307.33236443820783,3700,2055.5555555555557,2242.4242424242425,568.8379726336453,629.6414246912494
m_simt_st_contig_k1,1,141.33350000000002,138.834,146.583,141.6593164277839,470,261.1111111111111,284.8484848484849,84.32328892693916,101.07995155666094
m_simt_st_contig_k2,2,151.25,142.5,156.417,151.59867695700112,488,271.1111111111111,295.75757575757575,78.83474747474743,95.09245179063358
m_simt_st_contig_k4,4,178.417,171.417,188.917,178.82830510173397,524,291.1111111111111,317.5757575757576,62.788050216938714,77.58696387302409
m_simt_st_contig_k8,8,264.4585,250.75000000000003,281.08399999999995,265.0681567605493,596,331.1111111111111,361.21212121212125,24.915461426104844,36.271412464841674
m_simt_st_strided_k1,1,457.042,425.83399999999995,473.91700000000003,458.09561992582934,640,355.55555555555554,387.8787878787879,-22.383987078260244,-15.327985903556627
m_simt_st_strided_k2,2,492.54200000000003,443.75,517.5,493.67745815375366,820,455.55555555555554,496.969696969697,-7.722026187050497,0.6668805232176475
m_simt_st_strided_k4,4,574.1255000000001,556.833,598.5,575.4490327753836,1480,822.2222222222222,896.969696969697,42.88358749282357,55.87300453762574
m_simt_st_strided_k8,8,959.1665,940.5,1018.917,961.3776686378671,2200,1222.2222222222222,1333.3333333333335,27.132370773073394,38.68985902517099
m_simt_st_uni_diff_k1,1,163.66649999999998,141.5,186.917,164.04380074170592,450,250.0,272.72727272727275,52.39832219788412,66.2527151249645
m_simt_st_uni_diff_k2,2,198.33350000000002,184.75,206.917,198.7907186529017,470,261.1111111111111,284.8484848484849,31.349749566036756,43.29063589022194
m_simt_st_uni_diff_k4,4,224.16649999999998,213.583,248.0,224.68327152450635,510,283.3333333333333,309.0909090909091,26.103439482111135,37.56738852593944
m_simt_st_uni_diff_k8,8,384.375,358.0,397.16700000000003,385.2611005312218,590,327.77777777777777,357.5757575757576,-14.920614272809395,-7.186124661246601
m_simt_st_uni_same_k1,1,164.58350000000002,152.334,178.583,164.9629147038188,555,308.3333333333333,336.3636363636364,86.91069679929436,103.90257832650296
m_simt_st_uni_same_k2,2,162.167,145.417,185.75,162.54084394106445,1035,575.0,627.2727272727273,253.75723790906903,285.9169868098935
m_simt_st_uni_same_k4,4,177.417,164.833,198.0,177.82599979953892,1995,1108.3333333333333,1209.0909090909092,523.2684391386771,579.9292063331023
m_simt_st_uni_same_k8,8,186.70850000000002,164.834,220.416,187.13891951488424,3915,2175.0,2372.727272727273,1062.2381948331222,1167.8962125452244
m_simt_ub_copy_k1,1,21.2915,20.917,21.417,21.34058334168588,40,22.22222222222222,24.242424242424242,4.131278261799824,13.59775810378163
m_simt_ub_copy_k2,2,43.1255,42.917,43.167,43.22491730981257,76,42.22222222222222,46.06060606060606,-2.3197154557950372,6.560310411859965
m_simt_ub_copy_k4,4,86.708,86.5,87.084,86.90788814272828,148,82.22222222222221,89.6969696969697,-5.391531218444554,3.2092386707877756
m_simt_ub_copy_k8,8,174.08350000000002,173.917,174.167,174.48481507467176,292,162.22222222222223,176.96969696969697,-7.027885404928609,1.4241250128051497
